1918.66575 3
1918.66849 7
1918.67123 5
1918.67397 1
1918.67671 3
1918.67945 4
1918.68219 4
1918.68493 5
1918.68767 1
1918.69041 4
1918.69315 4
1918.69589 4
1918.69863 6
1918.70137 4
1918.70411 5
1918.70685 7
1918.70959 8
1918.71233 11
1918.71507 7
1918.71781 11
1918.72055 12
1918.72329 14
1918.72603 26
1918.72877 30
1918.73151 45
1918.73425 52
1918.73699 64
1918.73973 79
1918.74247 105
1918.74521 132
1918.74795 185
1918.75068 220
1918.75342 289
1918.75616 358
1918.75890 447
1918.76164 475
1918.76438 567
1918.76712 644
1918.76986 708
1918.77260 768
1918.77534 803
1918.77808 769
1918.78082 662
1918.78356 602
1918.78630 614
1918.78904 541
1918.79178 527
1918.79452 426
1918.79726 392
1918.80000 353
1918.80274 295
1918.80548 236
1918.80822 245
1918.81096 201
1918.81370 174
1918.81644 148
1918.81918 123
1918.82192 93
1918.82466 90
1918.82740 79
1918.83014 67
1918.83288 50
1918.83562 40
1918.83836 43
1918.84110 28
1918.84384 37
1918.84658 29
1918.84932 22
1918.85205 34
1918.85479 18
1918.85753 24
1918.86027 22
1918.86301 13
1918.86575 24
1918.86849 10
1918.87123 18
1918.87397 13
1918.87671 14
1918.87945 12
1918.88219 13
1918.88493 13
1918.88767 12
1918.89041 13
1918.89315 9
1918.89589 13
1918.89863 12
1918.90137 21
1918.90411 14
1918.90685 17
1918.90959 10
1918.91233 13
1918.91507 8
1918.91781 23
1918.92055 20
1918.92329 14
1918.92603 16
1918.92877 16
1918.93151 16
1918.93425 21
1918.93699 12
1918.93973 19
1918.94247 21
1918.94521 17
1918.94795 19
1918.95068 14
1918.95342 10
1918.95616 20
1918.95890 14
1918.96164 26
1918.96438 21
1918.96712 19
1918.96986 20
1918.97260 15
1918.97534 26
1918.97808 24
1918.98082 19
1918.98356 15
1918.98630 23
1918.98904 10
1918.99178 15
1918.99452 18
1918.99726 30
